Mon,Tue,Wed,Thu,Fri,Sat,Sun,listing_id
600.0,600.0,600.0,600.0,600.0,600.0,600.0,3604481.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,2949128.0
70.5769230769,70.0,70.0,70.5660377358,80.3846153846,80.3846153846,70.5769230769,4325397.0
275.0,275.0,275.0,275.0,275.0,275.0,275.0,4325398.0
110.697674419,109.756097561,110.138888889,111.184210526,112.361111111,111.944444444,110.581395349,3426149.0
97.0,97.0,97.0,97.0,97.0,97.0,97.0,65562.0
58.0,58.0,58.0,58.0,58.0,58.0,58.0,2730672.0
55.0,55.0,55.0,55.0,55.0,55.0,55.0,4587554.0
70.0,70.0,70.0,70.0,70.0,70.0,70.0,819206.0
260.931818182,256.52173913,258.711111111,268.045454545,280.333333333,283.133333333,260.409090909,2359340.0
150.0,150.0,150.0,150.0,150.0,150.0,150.0,4653104.0
442.5,440.0,440.0,440.0,439.655172414,439.655172414,442.5,3276860.0
100.0,100.0,100.0,101.351351351,101.388888889,101.351351351,101.351351351,3604551.0
48.86,49.0,49.0,49.0,48.86,48.86,48.86,3997768.0
100.0,100.0,100.0,100.0,130.0,130.0,100.0,4128844.0
50.0,50.0,50.0,50.0,50.0,50.0,50.0,185698.0
320.0,320.0,320.0,320.566037736,320.0,320.0,320.0,3866715.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,2752604.0
168.0,168.0,168.0,168.0,168.0,168.0,168.0,262238.0
101.37254902,101.960784314,102.0,101.4,101.764705882,102.0,101.93877551,4325480.0
65.0,65.0,65.0,65.0,65.0,65.0,65.0,1048682.0
115.0,115.0,115.0,115.0,115.0,115.0,115.0,1835122.0
104.285714286,100.0,100.0,100.0,100.0,105.0,104.285714286,65660.0
180.0,180.0,180.0,180.0,180.0,180.0,180.0,3801214.0
165.0,165.0,165.0,165.0,165.0,165.0,165.0,3932288.0
150.0,150.0,150.0,150.0,150.0,150.0,150.0,4653187.0
110.0,110.0,110.0,110.0,125.0,125.0,110.0,327816.0
125.0,125.0,125.0,125.0,125.0,125.0,125.0,753687.0
85.0,85.0,85.0,85.0,110.0,110.0,85.0,4653196.0
150.0,150.0,150.0,150.0,150.0,150.0,150.0,1704079.0
60.0,60.0,60.0,60.0,60.0,60.0,60.0,1571232.0
235.0,235.0,235.0,235.0,235.0,235.0,235.0,3506202.0
130.0,130.0,130.0,130.0,130.0,130.0,130.0,1245343.0
150.0,150.0,150.0,150.0,165.0,165.0,150.0,3473568.0
150.0,150.0,150.0,150.0,150.0,150.0,150.0,4325538.0
199.0,199.0,199.0,199.0,225.0,225.0,199.0,3042076.0
170.0,170.0,170.0,171.509433962,171.538461538,170.0,170.0,4587695.0
110.0,110.0,110.0,110.0,110.0,110.0,110.0,4587696.0
100.0,100.0,100.0,100.0,100.480769231,100.480769231,100.0,3539121.0
80.0,80.0,80.0,80.0,125.0,125.0,80.0,4849849.0
61.9230769231,62.2916666667,61.6666666667,61.2,61.0416666667,61.9565217391,61.6666666667,1704132.0
109.0,109.0,109.0,110.333333333,129.666666667,129.666666667,109.0,3276997.0
110.0,110.0,110.0,110.0,120.0,120.0,110.0,4795088.0
225.0,225.0,219.909090909,219.909090909,219.0,219.0,225.0,4325606.0
400.0,400.0,400.0,400.0,400.0,400.0,400.0,917739.0
80.0,80.0,80.0,81.3043478261,100.0,100.0,82.1739130435,1573110.0
120.0,120.0,120.0,120.0,120.0,120.0,120.0,3473657.0
50.0,50.0,50.0,50.0,50.0,50.0,50.0,4915452.0
65.0,65.0,65.0,65.0,65.0,65.0,65.0,1835264.0
92.4509803922,92.1568627451,91.568627451,91.7,92.2448979592,92.1568627451,92.3529411765,4849923.0
92.0,92.0,92.0,92.1176470588,95.0,95.0,92.0,262405.0
163.761904762,162.636363636,162.636363636,162.636363636,164.454545455,164.454545455,164.454545455,786696.0
55.0,55.0,55.0,55.0,70.0,70.0,55.0,4456713.0
158.0,158.0,158.0,158.0,158.0,158.0,158.0,1966349.0
250.0,250.0,250.0,250.0,250.0,250.0,250.0,1310990.0
129.4,129.489795918,129.489795918,129.4,129.479166667,129.479166667,129.489795918,1704210.0
184.617647059,184.46875,185.457142857,186.205882353,187.0,187.0,185.363636364,3801368.0
425.0,425.0,425.0,422.622641509,422.576923077,425.0,425.0,1900825.0
120.0,120.0,120.0,120.0,120.0,120.0,120.0,4653349.0
97.6274509804,97.6274509804,97.4615384615,97.4615384615,97.431372549,97.431372549,97.6274509804,1245479.0
165.0,165.0,165.0,165.0,180.0,180.0,165.0,65834.0
301.960784314,300.0,300.0,300.0,301.960784314,301.960784314,301.960784314,2008541.0
194.153846154,194.153846154,199.923076923,201.79245283,495.153846154,495.153846154,194.153846154,1966386.0
98.7647058824,98.8947368421,98.8947368421,99.3125,99.3125,100.0,98.6315789474,2516156.0
70.0,70.0,70.0,70.0,70.0,70.0,70.0,2425140.0
60.4444444444,60.4444444444,60.4347826087,60.4255319149,60.4347826087,60.2222222222,60.4347826087,4587838.0
950.0,950.0,950.0,950.0,950.0,950.0,950.0,1835327.0
50.0,50.0,50.0,50.0,50.0,50.0,50.0,4587845.0
60.0,60.0,60.0,60.0,60.0,60.0,60.0,1507655.0
140.0,140.0,140.0,140.0,140.0,140.0,140.0,251277.0
64.0,64.0,64.0,64.0,64.0,64.0,64.0,3801424.0
144.0,144.0,144.0,146.943396226,200.0,200.0,144.0,1179705.0
68.0,68.0,68.0,68.0,68.0,68.0,68.0,3342681.0
68.2325581395,67.8181818182,67.8181818182,67.8666666667,73.0222222222,73.0222222222,68.3181818182,2818397.0
126.0,126.0,126.0,126.0,126.0,126.5,126.488888889,1114466.0
299.0,299.0,299.0,299.0,299.0,299.0,299.0,328040.0
130.263157895,129.972972973,129.972972973,129.972972973,130.0,130.297297297,130.263157895,2359356.0
69.0408163265,69.2448979592,69.36,69.5,69.2708333333,70.1276595745,69.6875,4784493.0
132.875,132.875,132.666666667,132.183673469,137.125,137.125,132.875,4129134.0
135.0,135.0,135.0,135.0,135.0,135.0,135.0,4784498.0
80.0,80.0,80.0,80.0,80.0,80.0,80.0,4587898.0
125.0,125.0,125.0,125.0,125.0,125.0,125.0,76522.0
120.0,120.0,120.0,120.888888889,120.0,120.0,120.0,4718978.0
220.0,220.0,220.0,220.0,220.0,220.0,220.769230769,1835396.0
97.6111111111,98.0,98.0,97.6111111111,97.6,97.6,97.6111111111,3867025.0
215.0,215.0,215.0,215.0,250.0,250.0,215.0,3342740.0
106.714285714,106.714285714,106.875,106.875,107.234042553,107.0625,107.25,1442200.0
140.0,140.0,140.0,139.230769231,139.230769231,139.230769231,140.0,2490780.0
280.0,280.0,280.0,280.0,500.0,500.0,280.0,2097566.0
175.0,175.0,175.0,175.0,175.0,175.0,175.0,2359713.0
185.294117647,186.764705882,186.842105263,185.9375,185.294117647,185.0,184.375,4129195.0
150.0,150.0,150.0,150.0,150.0,150.0,150.0,2490801.0
300.0,300.0,300.0,300.0,300.0,300.0,300.0,262583.0
94.5238095238,94.512195122,94.5,94.0,104.358974359,103.75,94.5,65985.0
60.0,60.0,60.0,60.0,60.0,60.0,60.0,4500214.0
200.0,200.0,200.0,200.0,200.0,200.0,200.0,3932614.0
172.111111111,169.5625,169.5625,169.5625,170.75,170.75,172.111111111,3832064.0
174.0,174.0,174.0,174.0,174.0,174.0,174.0,4653519.0
110.0,110.0,110.0,110.0,110.0,110.0,110.0,1704400.0
350.0,350.0,350.0,350.0,350.0,350.0,350.0,2752977.0
130.0,130.0,130.0,130.0,130.384615385,130.384615385,130.0,393682.0
39.6153846154,39.6153846154,39.6153846154,39.6153846154,39.6078431373,39.8076923077,39.6153846154,4850141.0
120.0,120.0,120.0,120.0,120.0,120.0,120.0,2425318.0
249.0,249.0,249.0,249.0,249.0,249.0,249.0,2097639.0
185.0,185.0,185.0,185.0,185.0,185.0,185.0,3932650.0
275.0,275.0,275.0,275.0,275.0,275.0,275.0,356143.0
64.0,64.0,64.0,64.0,64.0,64.0,64.0,65619.0
90.0,90.0,90.0,90.0,90.0,90.0,90.0,721401.0
63.5714285714,63.2608695652,62.7272727273,63.0,63.0,63.0,63.5714285714,2425339.0
225.0,225.0,225.0,225.0,225.0,225.0,225.0,1049084.0
185.0,185.0,185.0,185.0,185.0,185.0,185.0,852483.0
150.0,150.0,150.0,150.0,150.0,150.576923077,150.0,1507845.0
225.0,225.0,225.0,225.0,225.0,225.0,225.0,4784649.0
150.0,150.0,150.0,150.0,150.0,150.0,150.0,4653578.0
215.0,215.0,215.0,215.0,215.0,215.0,215.0,786955.0
135.2,135.2,135.0,135.0,145.0,145.0,135.204081633,1245714.0
50.0,50.0,50.0,50.0,50.0,50.0,50.0,1049107.0
200.0,200.0,200.0,200.0,300.0,300.0,200.0,4588062.0
198.529411765,205.133333333,205.133333333,203.47826087,195.153846154,198.365384615,197.384615385,197155.0
54.0,54.0,54.0,54.0,54.0,54.0,54.0,2228774.0
130.0,130.0,130.0,130.0,130.0,130.0,130.0,4423773.0
97.8333333333,97.8333333333,97.5454545455,97.5454545455,95.6666666667,97.5454545455,99.9090909091,3932734.0
100.0,100.0,100.0,103.773584906,103.846153846,103.846153846,103.846153846,3867203.0
118.461538462,118.815789474,118.5,118.421052632,117.972972973,118.285714286,118.235294118,983625.0
150.0,150.0,150.0,150.566037736,150.576923077,150.576923077,150.576923077,4233604.0
300.0,300.0,300.0,300.0,298.076923077,300.0,300.0,4128866.0
113.111111111,113.111111111,113.111111111,113.295454545,131.0,130.422222222,113.111111111,3736147.0
71.9555555556,72.7555555556,72.7045454545,72.5,73.2790697674,73.2790697674,72.5,4784728.0
75.0,75.0,75.0,75.0,75.0,75.0,75.0,3146332.0
89.0,89.0,89.0,89.0,100.0,100.0,89.0,3605090.0
181.0,181.0,180.0,180.0,180.0,181.025641026,181.0,3801701.0
175.0,175.0,175.0,175.0,175.0,175.0,175.0,3560892.0
90.0,90.0,90.0,90.0,90.0,90.0,90.0,2163313.0
151.923076923,150.0,150.0,151.886792453,151.923076923,151.923076923,151.923076923,787060.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,1049207.0
200.0,200.0,200.0,200.0,200.0,200.0,200.0,1507974.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,3932807.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,3605131.0
89.0,89.0,89.0,89.0,89.0,89.0,89.0,4457103.0
99.0,99.0,99.0,99.0,153.923076923,153.923076923,99.0,1180308.0
44.0,44.0,44.0,44.0,44.22,44.22,44.0,852632.0
165.0,165.0,165.0,165.0,185.0,185.0,165.0,1311399.0
300.0,300.0,300.0,300.0,300.0,300.0,300.0,3069383.0
222.0,222.0,222.0,222.0,219.368421053,219.368421053,217.0,3932844.0
53.9795918367,54.1666666667,53.9795918367,53.8,58.1632653061,58.4375,54.1666666667,2556591.0
69.6428571429,69.6428571429,69.6428571429,69.6428571429,70.0,70.0,70.0,4784817.0
90.0,90.0,90.0,90.0,120.0,120.0,90.0,852661.0
220.0,220.0,220.0,226.037735849,265.384615385,263.461538462,220.0,3343038.0
220.0,220.0,220.0,220.0,300.0,300.625,221.632653061,1442495.0
28.0,28.0,28.0,28.0,28.0,28.0,28.0,4326080.0
695.0,695.0,695.0,695.0,695.0,695.0,695.0,3343044.0
79.0,79.0,79.0,79.0,79.0,79.0,79.0,98423.0
70.0,70.0,70.0,70.0,70.0,70.0,70.0,4129487.0
